,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
386,samarai,5,PG,1579368397,86,-10.62,150.67,76.82,4.36
387,jammalamadugu,12,IN,1579368397,80,14.83,78.4,72.32,8.75
388,meulaboh,18,ID,1579368397,74,4.14,96.13,83.3,4.34
389,neiafu,90,TO,1579368397,94,-18.65,-173.98,80.6,28.86
390,ojinaga,1,MX,1579368397,38,29.57,-104.42,60.8,10.29
391,nicoya,40,CR,1579368175,55,10.15,-85.45,89.6,25.28
392,batticaloa,24,LK,1579368397,93,7.71,81.69,73.74,0.83
393,ondjiva,80,AO,1579368397,59,-17.07,15.73,77.52,9.35
394,san vicente,42,AR,1579368397,82,-26.62,-54.13,84.0,4.99
395,jepelacio,100,PE,1579368397,98,-6.12,-76.95,68.09,0.65
396,berasia,90,IN,1579368397,100,23.63,77.43,53.6,2.24
397,manaure,75,CO,1579368397,52,11.78,-72.44,89.6,20.8
398,byron bay,65,AU,1579368397,100,-28.65,153.62,72.0,5.82
399,ouidah,20,BJ,1579368397,74,6.36,2.09,86.0,9.17
400,rocha,0,UY,1579368266,25,-34.48,-54.33,87.31,1.74
401,ferkessedougou,0,CI,1579368397,15,9.6,-5.2,88.41,4.03
402,olsztyn,90,PL,1579368366,93,53.78,20.49,39.2,5.82
403,karasjok,40,NO,1579368397,78,69.47,25.51,12.2,44.96
404,nalut,46,LY,1579368397,37,30.33,10.85,49.8,7.54
405,santander,75,ES,1579368295,87,43.46,-3.8,51.01,8.05
406,mabaruma,26,GY,1579368397,85,8.2,-59.78,80.87,4.85
407,owatonna,90,US,1579368397,84,44.08,-93.23,10.0,18.34
408,san luis,0,AR,1579368397,24,-33.3,-66.34,92.52,8.59
409,male,75,MV,1579368337,79,4.17,73.51,84.2,16.11
410,munirabad,0,IN,1579368398,74,15.33,76.33,72.07,9.84
411,dergachi,0,RU,1579368398,91,51.23,48.77,20.5,5.19
412,ubinskoye,99,RU,1579368398,82,55.31,79.68,-7.38,10.27
413,margate,1,GB,1579368398,80,51.38,1.39,44.01,4.7
414,port augusta,2,AU,1579368398,72,-32.5,137.77,66.2,10.29
415,baykit,30,RU,1579368398,92,61.67,96.37,-12.71,3.62
416,xining,100,CN,1579368398,78,36.62,101.77,12.24,3.62
417,haines junction,84,CA,1579368398,98,60.75,-137.51,-27.22,7.29
418,lillooet,90,CA,1579368398,84,50.69,-121.94,10.99,5.82
419,kefamenanu,100,ID,1579368398,88,-9.45,124.48,71.06,3.56
420,nador,100,MA,1579368398,63,35.17,-2.93,60.8,1.12
421,ihosy,77,MG,1579368398,83,-22.4,46.12,67.37,4.36
422,reconquista,66,AR,1579368398,28,-29.15,-59.65,93.78,3.91
423,khowai,0,IN,1579368398,67,24.1,91.63,63.93,2.15
424,voznesenye,100,RU,1579368398,82,61.01,35.48,32.61,9.37
425,tura,0,IN,1579368398,70,25.52,90.22,63.73,1.43
426,gidole,0,ET,1579368398,43,5.65,37.37,74.21,4.5
427,agutaya,21,PH,1579368398,83,11.15,120.94,81.25,20.24
428,yarmouth,40,US,1579368302,57,41.71,-70.23,26.01,5.82
429,whitehorse,90,CA,1579368265,65,60.72,-135.05,-38.0,2.24
430,urumqi,11,CN,1579368398,77,43.8,87.6,6.8,2.24
431,kungurtug,90,RU,1579368398,95,50.6,97.52,-1.75,4.12
432,puerto carreno,20,CO,1579368347,52,6.19,-67.49,93.2,11.41
433,lakatoro,0,VU,1579368399,80,-16.1,167.42,79.97,10.89
434,havelock,75,US,1579368399,61,34.88,-76.9,51.01,6.93
435,vila do maio,0,CV,1579368399,45,15.13,-23.22,82.4,13.87
436,bestobe,100,KZ,1579368399,89,52.5,73.1,21.02,17.2
437,atasu,100,KZ,1579368399,91,48.68,71.64,12.54,7.31
438,hervey bay,75,AU,1579368399,100,-25.3,152.85,73.99,10.29
439,ilam,0,NP,1579368399,78,26.92,87.92,41.85,5.37
440,champasak,43,LA,1579368399,75,14.75,106.0,67.26,3.24
441,ucluelet,90,CA,1579368378,93,48.93,-125.55,48.0,14.99
442,darnah,85,LY,1579368399,69,32.77,22.64,57.02,11.74
443,rosetta,40,EG,1579368399,72,31.4,30.42,59.0,8.05
444,limon,75,CR,1579368258,88,10.0,-83.03,80.6,16.11
445,ballina,96,AU,1579368399,100,-28.87,153.57,71.6,5.82
446,sulangan,0,PH,1579368399,78,11.14,123.72,80.82,6.53
447,north bend,90,US,1579368399,87,43.41,-124.22,51.01,5.82
448,chiredzi,79,ZW,1579368399,64,-21.05,31.67,82.71,9.71
449,plaster rock,1,CA,1579368399,65,46.91,-67.39,3.2,9.17
450,moen,12,NO,1579368399,85,69.13,18.61,26.6,19.46
451,pilar,75,BR,1579368399,62,-9.6,-35.96,87.8,14.99
452,iranshahr,98,IR,1579368399,54,27.2,60.68,55.4,1.95
453,saint anthony,90,US,1579368399,71,45.02,-93.22,15.8,19.46
454,shingu,0,JP,1579368399,64,33.73,135.98,43.83,7.99
455,havoysund,25,NO,1579368399,67,71.0,24.66,19.4,24.16
456,andenes,73,NO,1579368400,72,69.31,16.12,32.0,16.11
457,kremenchuk,0,UA,1579368400,83,49.1,33.42,32.67,3.22
458,les cayes,0,HT,1579368400,61,18.2,-73.75,79.9,8.68
459,chabahar,33,IR,1579368400,52,25.29,60.64,62.89,2.48
460,hofn,33,IS,1579368400,67,64.25,-15.21,40.15,10.27
461,los llanos de aridane,20,ES,1579368400,64,28.66,-17.92,69.8,8.05
462,aquiraz,40,BR,1579368400,62,-3.9,-38.39,87.8,17.22
463,vilhena,40,BR,1579368400,52,-12.74,-60.15,89.6,8.05
464,jiayuguan,0,CN,1579368400,67,39.82,98.3,15.44,5.46
465,srednekolymsk,95,RU,1579368400,98,67.45,153.68,-19.8,2.82
466,morro bay,1,US,1579368262,76,35.37,-120.85,54.0,6.44
467,buchanan,40,LR,1579368400,66,5.88,-10.05,89.6,12.75
468,grand gaube,40,MU,1579368400,88,-20.01,57.66,81.0,8.05
469,chabua,62,IN,1579368400,76,27.48,95.17,62.42,3.8
470,kindersley,20,CA,1579368400,68,51.47,-109.17,-17.0,12.75
471,ndele,49,CF,1579368400,17,8.41,20.65,80.8,6.33
472,tamandare,82,BR,1579368400,77,-8.76,-35.1,81.14,12.33
473,kamenka,100,RU,1579368400,95,51.32,42.77,33.01,1.01
474,halifax,20,CA,1579368131,77,44.65,-63.57,19.0,13.87
475,belyy yar,0,RU,1579368400,71,53.6,91.39,5.0,4.47
476,nago,90,JP,1579368102,62,26.59,127.98,60.8,5.82
477,ulladulla,100,AU,1579368400,88,-35.35,150.47,66.99,4.7
478,nemuro,97,JP,1579368401,67,43.32,145.57,27.27,11.03
479,marzuq,0,YE,1579368401,76,14.4,46.47,57.02,4.94
480,vostochnyy,40,RU,1579368401,92,55.82,37.87,32.0,8.95
481,tongliao,99,CN,1579368401,92,43.61,122.27,10.49,6.85
482,sakaiminato,75,JP,1579368401,74,35.55,133.23,37.4,5.82
483,poya,11,NC,1579368401,78,-21.35,165.15,77.2,7.05
484,wuchang,100,CN,1579368401,95,44.91,127.15,10.65,4.43
485,taoudenni,0,ML,1579368401,21,22.68,-3.98,69.04,11.36
486,boddam,7,GB,1579368401,73,57.47,-1.78,44.01,18.34
487,sorland,56,NO,1579368401,75,67.67,12.69,38.61,15.46
488,akdepe,100,TM,1579368401,74,42.06,59.38,33.8,2.24
489,vaitape,89,PF,1579368401,78,-16.52,-151.75,81.64,15.61
490,aykhal,97,RU,1579368118,99,66.0,111.5,-5.13,9.66
491,ayan,71,RU,1579368401,74,56.45,138.17,-1.75,6.87
492,puerto narino,90,CO,1579368401,100,-3.77,-70.38,77.0,3.36
493,yulara,66,AU,1579368402,37,-25.24,130.99,82.4,19.46
494,mbanza-ngungu,57,CD,1579368402,95,-5.25,14.87,71.47,5.01
495,pundaguitan,0,PH,1579368402,78,6.37,126.17,78.98,7.61
496,maniitsoq,0,GL,1579368402,46,65.42,-52.9,14.0,8.39
497,moose factory,1,CA,1579368402,76,51.26,-80.61,-4.0,9.17
498,porto santo,0,PT,1579368402,68,33.07,-16.34,64.4,8.05
499,abu zabad,9,SD,1579368402,28,12.35,29.25,67.24,13.91
500,indramayu,99,ID,1579368403,85,-6.33,108.32,78.91,4.9
501,masuguru,100,TZ,1579368403,96,-11.37,38.42,76.39,5.19
502,mangan,32,IN,1579368403,56,27.52,88.53,32.88,9.69
503,seoul,75,KR,1579368180,74,37.57,126.98,30.2,2.8
504,sao felix do xingu,34,BR,1579368403,60,-6.64,-51.99,90.32,3.2
505,katangli,30,RU,1579368403,90,51.71,143.23,-5.6,3.15
506,lazaro cardenas,7,MX,1579368112,44,17.96,-102.2,90.01,3.76
507,tuatapere,79,NZ,1579368404,94,-46.13,167.68,57.99,1.01
508,constitucion,64,CL,1579368404,50,-35.33,-72.42,72.54,7.16
509,sinjai,61,ID,1579368404,80,-5.12,120.25,82.44,9.64
510,salalah,20,OM,1579368404,70,17.02,54.09,69.66,7.0
511,bac lieu,76,VN,1579368404,83,9.29,105.72,74.62,8.63
512,belmonte,23,BR,1579368404,70,-15.86,-38.88,87.8,9.17
513,sioux lookout,90,CA,1579368404,92,50.1,-91.92,19.4,5.82
514,ust-ilimsk,100,RU,1579368404,90,58.0,102.66,11.8,17.94
515,arlit,10,NE,1579368404,18,18.74,7.39,69.76,8.63
516,trinidad,75,BO,1579368404,70,-14.83,-64.9,89.6,3.36
517,olinda,40,BR,1579368404,66,-8.01,-34.86,86.0,11.41
518,belaya gora,94,RU,1579368404,99,68.53,146.42,-19.89,0.94
519,lima,90,PE,1579368252,78,-12.04,-77.03,75.2,11.41
520,balaipungut,67,ID,1579368404,91,1.05,101.28,74.23,1.36
521,strathpeffer,20,GB,1579368404,88,57.59,-4.54,41.0,9.17
522,contamana,96,PE,1579368404,95,-7.33,-75.02,75.47,4.16
523,nova aurora,9,BR,1579368404,69,-22.87,-52.57,83.62,9.93
524,tucuman,40,AR,1579368131,65,-26.82,-65.22,82.4,6.93
525,kerman,75,IR,1579368404,32,30.28,57.08,51.8,4.7
526,troitskoye,70,RU,1579368404,95,52.98,84.68,11.89,6.42
527,tecoanapa,28,MX,1579368404,22,16.52,-98.75,101.01,1.57
528,salta,75,AR,1579368313,69,-24.79,-65.41,78.8,8.05
529,madimba,75,TZ,1579368405,83,-10.4,40.33,82.4,17.22
530,turayf,75,SA,1579368405,93,31.67,38.66,50.0,9.17
531,saryozek,18,KZ,1579368405,50,44.36,77.98,14.34,2.62
532,garden city,90,US,1579368405,93,42.33,-83.33,36.0,20.8
533,simga,20,IN,1579368405,69,21.63,81.7,73.4,3.36
534,itacoatiara,96,BR,1579368405,52,-3.14,-58.44,91.83,5.3
535,vestmanna,0,FO,1579368405,75,62.16,-7.17,41.0,20.8
536,sept-iles,20,CA,1579368405,41,50.2,-66.38,3.99,6.93
537,shahreza,36,IR,1579368405,72,32.03,51.88,36.73,3.89
538,shakiso,24,ET,1579368405,27,5.75,38.92,67.89,5.61
539,wanning,81,CN,1579368405,86,18.8,110.4,68.9,6.35
540,cap-chat,70,CA,1579368405,92,49.1,-66.68,-4.74,4.05
541,gniezno,100,PL,1579368405,80,52.53,17.58,41.0,4.7
542,taltal,23,CL,1579368405,61,-25.4,-70.48,72.95,7.43
543,chicama,20,PE,1579368405,69,-7.84,-79.15,75.2,11.41
544,zhigansk,100,RU,1579368405,95,66.77,123.37,-12.05,19.1
545,kalmunai,3,LK,1579368405,82,7.42,81.82,81.36,13.38
546,norman wells,5,CA,1579368405,75,65.28,-126.83,-13.0,4.7
547,wanlaweyn,31,SO,1579368405,66,2.62,44.89,76.75,19.75
548,garowe,0,SO,1579368405,54,8.41,48.48,75.2,17.9
549,shirvan,89,AZ,1579368405,72,39.95,48.9,39.13,6.62
550,valday,100,RU,1579368406,74,57.97,33.25,31.84,10.4
551,hami,3,CN,1579368406,56,42.8,93.45,12.24,2.64
552,ilulissat,20,GL,1579368406,41,69.22,-51.1,1.4,9.17
553,hibbing,90,US,1579368406,79,47.43,-92.94,24.01,10.29
554,sinnamary,23,GF,1579368406,78,5.38,-52.95,80.74,14.03
555,esmeraldas,75,BR,1579368406,69,-19.76,-44.31,80.6,9.17
556,isabela,0,PH,1579368406,91,6.71,121.97,71.78,2.01
557,boromo,6,BF,1579368406,11,11.75,-2.93,85.68,6.89
558,lingao,50,CN,1579368406,83,19.91,109.69,70.23,14.5
559,dakar,3,SN,1579368403,9,14.69,-17.44,91.4,13.87
560,tabou,12,CI,1579368406,72,4.42,-7.35,82.49,6.82
561,jequie,18,BR,1579368406,34,-13.86,-40.08,91.47,7.61
